Category	Item	Resources/References	Definition	Implementation Notes	Current Status / File Location
Resource Mgmt	Resource Allocation	Reference	CPU/GPU limits	Quotas	[MISSING] Future: Kubernetes Manifests
Resource Mgmt	Load Balancing	Reference	Sharding	Hashing	[MISSING] Future: Advanced Infrastructure
Resource Mgmt	Cost-Gated Execution	Reference	Budget checks	Stop execution	[CONFIG] .blueprint/prime_directives.md (Directive #8)
Dependency Mgmt	Dep Graph Builder	Reference	Visualize deps	DAG construction	[FILE] core/cpg_builder.py
Dependency Mgmt	Environment Builder	Reference	Poetry/Docker	Isolation	[MISSING] Future: Build infrastructure/env_manager.py
Dependency Mgmt	Package Resolution	Reference	Conflict resolution	SAT solver	[MISSING] Future: Build infrastructure/env_manager.py
Dependency Mgmt	Pre-flight Validation	Reference	Security checks	CVE scan	[MISSING] Future: Build infrastructure/security_scanner.py
Env Setup	Database Provisioning	Reference	Spin up DBs	Testcontainers	[MISSING] Future: Build infrastructure/docker_env.py
Env Setup	Mock Service Generator	Reference	Mock APIs	OpenAPI to Mock	[MISSING] Future: Build agents/mock_builder.py
Env Setup	Secrets Management	Reference	Secure keys	Vault/Env vars	[FILE] agents/base_agent.py (Key management)
Env Setup	Resource Downloader	Reference	Async download	HTTPX	[MISSING] Future: Build infrastructure/web_crawler.py
Observability	Distributed Tracing	Reference	Trace IDs	OpenTelemetry	[CONFIG] .blueprint/event_bus.schema (correlation_id)
Observability	Citation Graph	Reference	Link sources	CFF format	[CONFIG] .blueprint/llm_router.yaml (CURATOR)
Observability	OpenTelemetry Support	Reference	Metrics	OTel SDK	[MISSING] Future: Add OTel Python Pkg
Observability	QA Interaction Log	Reference	Log questions	JSONL	[FILE] requirements/socratic_engine.py
Observability	Replay Capabilities	Reference	Replay events	Event Sourcing	[MISSING] Future: Event Store
Observability	Visual Regression	Reference	UI verification	Pixel diff	[MISSING] Future: Build agents/ui_tester.py
QA	Test-Driven Gen (TDG)	Reference	Test before code	Test Nodes	[CONFIG] .blueprint/file_materialization.yaml (TEST Node Type)
QA	Mutation Testing	Reference	Alter logic	Logic inversion	[MISSING] Future: Build agents/qa_engineer.py
QA	Structural Traceability	Reference	Req to Code links	Graph edges	[FILE] core/ontology.py (TRACES_TO)
QA	Impact Analysis	Reference	Blast radius	nx.descendants	[FILE] infrastructure/graph_db.py
QA	Benchmark Suites	Reference	Perf testing	Evals	[FILE] validate_phase.py (Basic Bench)
QA	CI Hooks	Reference	Auto testing	GitHub Actions	[MISSING] Future: GitHub Actions workflow
Configuration	Prime Directives	Reference	Immutable rules	System Prompt	[CONFIG] .blueprint/prime_directives.md
Configuration	Topology Config	Reference	Agent structure	YAML	[CONFIG] .blueprint/topology_config.yaml
Configuration	Model Router	Reference	Role to Model	LiteLLM	[CONFIG] .blueprint/llm_router.yaml
Configuration	Agent Manifests	Reference	Capabilities	YAML	[CONFIG] .blueprint/topology_config.yaml
Configuration	Workflow Definitions	Reference	Multi-step process	DAG	[FILE] orchestration/wavefront.py
Configuration	MCP Server Configs	Reference	Tool definitions	JSON	[MISSING] Future: MCP Server
Advanced	Meta-Prompt Optimization	Reference	Self-rewrite	Dynamic prompts	[CONFIG] .blueprint/llm_router.yaml (LIBRARIAN)
Advanced	Deadlock Resolution	Reference	Cycle detection	nx.simple_cycles	[FILE] infrastructure/graph_db.py (Cycle Check)
Advanced	Semantic Versioning	Reference	API changes	Version bumps	[MISSING] Future: Build agents/release_manager.py
Advanced	Atomic Graph Commits	Reference	Transactional update	Rollback	[FILE] infrastructure/graph_db.py (Atomic Write)
Advanced	Multi-Model Support	Reference	Route to LLMs	LiteLLM	[FILE] infrastructure/llm_gateway.py
Advanced	Workflow Checkpointing	Reference	Save state	Pickle	[FILE] infrastructure/graph_db.py (Persistence)
Advanced	One-Way Dependency	Reference	No cycles	DAG enforcement	[FILE] core/ontology.py (DEPENDS_ON constraint)
Error Handling	Error Taxonomy	Reference	Failure classification	Hierarchy	[CONFIG] .blueprint/event_bus.schema (ERROR type)
Error Handling	Circuit Breakers	Reference	Isolation	Thresholds	[FILE] infrastructure/llm_gateway.py (@retry)
Error Handling	Retry Logic	Reference	Exponential backoff	Tenacity	[FILE] infrastructure/llm_gateway.py (@retry)
Error Handling	Zombie Killing	Reference	Depth limits	Recursion limit	[FILE] orchestration/wavefront.py (Loop break)
Error Handling	Graceful Degradation	Reference	Fallback	Simpler ops	[FILE] infrastructure/llm_gateway.py (Try/Except)
Deployment	CLI Entrypoints	Reference	Commands	Typer	[FILE] production_main.py (Entry Point)
Deployment	Container Orchestration	Reference	K8s/Docker	Scaling	[MISSING] Future: Kubernetes Manifests
Deployment	Cloud-Native Deploy	Reference	AWS/GCP	Terraform	[MISSING] Future: Terraform scripts
Deployment	Kill Switch	Reference	Emergency stop	Redis Key	[CONFIG] .blueprint/prime_directives.md (Directive #7)
Deployment	A/B Testing	Reference	Version compare	Feature flags	[MISSING] Future: Build infrastructure/experimentation.py
Files	prompt.md	Reference	Input template	Markdown	[FILE] CLAUDE_INSTRUCTIONS.md
Files	/.blueprint/	Reference	Logic root	Directory	[FILE] .blueprint/*
Files	project_graph.json	Reference	Serialized graph	GraphML	[FILE] infrastructure/graph_db.py (graph.pkl)
Files	codebase_graph.db	Reference	Graph DB	Neo4j	[FILE] infrastructure/graph_db.py
Files	prime_directives.md	Reference	Immutable rules	Markdown	[CONFIG] .blueprint/prime_directives.md
Files	topology_config.yaml	Reference	Agent structure	YAML	[CONFIG] .blueprint/topology_config.yaml
Files	product_spec.md	Reference	Master reqs	IEEE 830	[CONFIG] .blueprint/dynamic_specs.yaml
Files	knowledge_ontology.yaml	Reference	Edge definitions	OWL	[CONFIG] .blueprint/global_ontology.md
Files	verification_receipts	Reference	Signatures	Sig files	[FILE] agents/base_agent.py (Key storage)
Files	state_checkpoint.dump	Reference	Memory dump	Pickle	[FILE] infrastructure/graph_db.py
Files	citation_graph.gml	Reference	Source links	GML	[FILE] core/ontology.py (Doc Nodes)
Files	compatibility_matrix.json	Reference	Version rules	JSON	[MISSING] Future: Build agents/dependency_manager.py
Files	simulation_manifest.yaml	Reference	Synthetic data	YAML	[FILE] .blueprint/simulation_manifest.yaml
Files	communication.schema.json	Reference	Message format	JSON Schema	[CONFIG] .blueprint/event_bus.schema
Files	manifest.yaml	Reference	Agent sheet	YAML	[CONFIG] .blueprint/topology_config.yaml
Files	QA_interaction_log.json	Reference	Question log	JSONL	[FILE] requirements/socratic_engine.py
Files	tech_stack_rules.md	Reference	Constraints	Markdown	[CONFIG] prompt_templates.yaml
Files	security.md	Reference	Sanitization	OWASP	[CONFIG] prompt_templates.yaml
Files	mcp.json	Reference	MCP config	JSON	[MISSING] Future: MCP Server
Files	llm_router.yaml	Reference	Model map	YAML	[CONFIG] .blueprint/llm_router.yaml
Files	context_strategy.json	Reference	Eviction rules	JSON	[FILE] infrastructure/graph_db.py (Context Filter)
Files	event_bus.schema	Reference	Message defs	CloudEvents	[CONFIG] .blueprint/event_bus.schema
Files	cost_ledger.db	Reference	Token usage	SQLite	[FILE] infrastructure/llm_gateway.py
Files	cli_entrypoints.json	Reference	Commands	JSON	[FILE] production_main.py
Files	error_taxonomy.md	Reference	Failures	Markdown	[CONFIG] .blueprint/event_bus.schema
Files	requirements_template.yaml	Reference	IEEE 830	YAML	[CONFIG] .blueprint/dynamic_specs.yaml
Files	information_sources.yaml	Reference	Source rules	YAML	[FILE] requirements/socratic_engine.py
Files	question_bank.yaml	Reference	Templates	YAML	[FILE] requirements/socratic_engine.py
Files	search_patterns.yaml	Reference	Queries	YAML	[MISSING] Future: Add to Socratic Engine
Files	requirements_completeness.json	Reference	Tracker	JSON	[FILE] requirements/socratic_engine.py
Files	ieee_830_output.md	Reference	Final spec	Markdown	[FILE] agents/concrete_agents.py (Spec Generation)
Files	information_gathering.log	Reference	Audit trail	Log	[FILE] requirements/socratic_engine.py
Files	agents.yaml	Reference	Roles	YAML	[CONFIG] .blueprint/llm_router.yaml
Files	tasks.yaml	Reference	Specs	YAML	[CONFIG] .blueprint/dynamic_specs.yaml
Files	.env	Reference	Variables	Env	[FILE] production_main.py (Env Check)
Files	docker-compose.yml	Reference	Orchestration	YAML	[MISSING] Future: Create Dockerfile
Files	opentelemetry.yaml	Reference	Observability	YAML	[MISSING] Future: Add OTel
